{0, 1}
{2, 3}
{4, 5}
{6, 7}
{8, 9}
{10, 11}
{12, 13}
{14, 15}
{16, 17}
{18, 19}
{20, 21}
{22, 23}
{24, 25}
{26, 27}
{28, 29}
{30, 31}
{32, 33}
{34, 35}
{36, 37}
{38, 39}
{40, 41}
{42, 43}
{44, 45}
{46, 47}
{48, 49}
{50, 51}
{52, 53}
{28, 54}
{1, 55}
{56, 49}
{57, 58}
{28, 29, 54}
{59, 60}
{61, 62}
{64, 63}
{65, 66}
{67, 68}
{69, 70}
{3, 71}
{72, 68}
{73, 74}
{49, 39}
{49, 74}
{75, 76}
{77, 78}
{80, 79}
{81, 74}
{82, 83}
{84, 85}
{42, 86}
{78, 87}
{88, 87}
{89, 90}
{91, 76}
{29, 54}
{92, 93}
{94, 95}
{96, 97}
{98, 99}
{100, 101}
{102, 103}
{104, 105}
{106, 107}
{108, 85}
{109, 110}
{112, 111}
{113, 34}
{105, 114}
{115, 116}
{27, 117}
{53, 118}
{104, 105, 114}
{119, 87}
{86, 87}
{120, 79}
{121, 102}
{57, 122}
{81, 93}
{119, 86, 87}
{33, 123}
{124, 125}
{75, 69}
{126, 127}
{48, 49, 74}
{128, 129}
{130, 131}
{44, 71}
{10, 82}
{82, 11}
{115, 132}
{37, 53}
{34, 133}
{134, 135}
{136, 137}
{138, 37, 53}
{139, 12}
{3, 44}
{140, 84}
{141, 62}
{142, 143}
{88, 78}
{138, 53}
{144, 90}
{145, 122}
{122, 68}
{146, 147}
{144, 148}
{145, 149}
{144, 90, 148}
{12, 150}
{31, 151}
{152, 153}
{90, 148}
{145, 122, 68}
{145, 68, 149}
{104, 114}
{154, 15}
{155, 79}
{156, 157}
{60, 158}
{160, 159}
{145, 67}
{161, 162}
{163, 164}
{138, 36, 53}
{84, 165}
{166, 167}
{168, 109}
{145, 67, 68}
{82, 166}
{169, 170}
{171, 172}
{173, 86}
{153, 174}
{138, 36}
{38, 175}
{56, 167}
{32, 33, 123}
{138, 37}
{136, 19}
{39, 175}
{176, 177}
{178, 179}
{129, 180}
{181, 182}
{32, 123}
{64, 183}
{184, 185}
{73, 159}
{168, 186}
{187, 180}
{138, 118}
{188, 76}
{81, 189}
{190, 191}
{192, 193}
{194, 195}
{72, 196}
{197, 150}
{198, 199}
{200, 201}
{202, 203}
{204, 205}
{38, 206}
{208, 207}
{43, 86}
{209, 131}
{200, 201, 210}
{211, 5}
{176, 190}
{212, 191}
{213, 199}
{58, 214}
{8, 215}
{216, 21}
{217, 218}
{129, 195}
{219, 133}
{9, 215}
{190, 183}
{220, 221}
{196, 133}
{222, 223}
{176, 209, 76}
{216, 21, 39}
{77, 87}
{32, 224}
{128, 171}
{225, 215}
{226, 227}
{228, 229}
{146, 229}
{198, 183}
{208, 133}
{227, 230}
{153, 223}
{232, 231}
{208, 6}
{200, 217, 210, 201}
{217, 210, 218}
{233, 234}
{235, 236}
{13, 237}
{238, 239}
{234, 238}
{234, 85}
{234, 236}
{26, 31}
{176, 131}
{240, 91}
{203, 223}
{137, 153, 241}
{137, 241, 41}
{25, 242, 243}
{244, 245}
{225, 194}
{225, 129}
{197, 246}
{235, 247}
{248, 249}
{250, 244}
{64, 2}
{193, 251, 246}
{21, 39}
{252, 244}
{253, 165}
{254, 255}
{136, 222}
{188, 222}
{256, 196}
{256, 64}
{257, 231}
{258, 163}
{116, 77}
{258, 259}
{129, 194, 195}
{116, 260}
{235, 236, 247}
{73, 58, 204}
{116, 261}
{56, 33, 262, 7}
{264, 263}
{240, 116, 263}
{136, 41}
{76, 206}
{217, 201}
{146, 228, 229}
{176, 209, 131}
{123, 164}
{265, 261}
{266, 238}
{131, 198}
{56, 196}
{267, 159}
{136, 50}
{8, 268}
{269, 270}
{257, 271}
{272, 193}
{200, 217, 201}
{48, 189}
{273, 244}
{274, 258}
{30, 207}
{72, 207}
{275, 260}
{266, 115}
{201, 210}
{213, 198, 199}
{276, 277}
{264, 240, 263}
{58, 150}
{196, 30}
{236, 230}
{266, 236, 278}
{163, 244}
{280, 279}
{281, 77}
{211, 167}
{24, 115}
{25, 39}
{282, 275, 181}
{161, 258}
{72, 6}
{115, 239}
{9, 283}
{284, 244}
{285, 63}
{251, 286}
{240, 263}
{239, 287}
{65, 242}
{288, 244}
{236, 278}
{227, 279}
{230, 279}
{257, 271, 247}
{289, 269}
{290, 127}
{291, 292}
{291, 55}
{293, 14}
{266, 236}
{266, 234}
{149, 294}
{128, 189}
{48, 74, 189}
{296, 295}
{139, 71}
{69, 279}
{297, 197, 286}
{298, 43}
{299, 300}
{301, 302}
{147, 303}
{237, 70}
{304, 305}
{233, 236}
{306, 143}
{249, 307}
{308, 102}
{219, 286}
{297, 251, 286}
{309, 310, 151}
{97, 93}
{261, 63}
{55, 311}
{312, 313}
{56, 74}
{314, 315}
{236, 239}
{316, 55}
{145, 36, 12}
{232, 317}
{310, 63}
{316, 318}
{26, 319}
{31, 319}
{97, 219}
{193, 251}
{91, 187}
{320, 321}
{322, 279}
{323, 324}
{141, 302}
{257, 317}
{152, 321}
{292, 325, 326}
{328, 327}
{329, 19, 269}
{330, 19}
{331, 19}
{332, 333, 334}
{333, 334, 335}
{336, 327}
{11, 197}
{337, 338, 171}
{24, 266}
{339, 340}
{339, 341}
{145, 12, 149}
{292, 342}
{204, 78}
{99, 343}
{344, 324}
{304, 345}
{346, 251}
{26, 43, 319}
{176, 209}
{347, 44}
{44, 348}
{265, 123}
{13, 349}
{256, 350, 327}
{297, 286}
{71, 351}
{236, 85}
{56, 49, 74}
{352, 264, 181}
{2, 327}
{353, 2}
{354, 332}
{232, 247}
{355, 295}
{297, 327}
{349, 159}
{193, 219, 97}
{128, 60}
{352, 356}
{64, 178, 357}
{257, 271, 231}
{152, 321, 358}
{289, 331, 359}
{136, 138}
{360, 36}
{338, 171}
{361, 149}
{49, 182}
{196, 207}
{115, 236}
{43, 31}
{176, 209, 213}
{44, 143}
{362, 188}
{265, 123, 263}
{361, 363}
{26, 298, 319}
{57, 364}
{329, 54}
{329, 269}
{365, 359}
{63, 310, 151}
{354, 332, 366}
{54, 270}
{152, 367}
{289, 331}
{329, 19}
{368, 291}
{291, 325}
{332, 333}
{333, 334}
{361, 12, 149}
{340, 125}
{369, 370}
{197, 350}
{353, 346}
{371, 26, 43}
{320, 369}
{338, 372}
{145, 363}
{26, 298}
{128, 373}
{364, 63}
{55, 351}
{55, 318, 311}
{374, 263}
{240, 123, 263}
{310, 151}
{270, 375}
{376, 244}
{265, 123, 377}
{344, 68}
{162, 378}
{372, 366}
{152, 370}
{360, 149}
{289, 19, 270}
{329, 19, 365}
{378, 15}
{24, 115, 278}
{273, 284}
{379, 189}
{200, 201, 210, 218}
{380, 381}
{349, 70}
{193, 251, 286}
{236, 238}
{48, 180}
{289, 375}
{358, 382}
{236, 383}
{307, 323, 324}
{289, 19, 359}
{384, 52, 53}
{385, 326}
{19, 28}
{169, 291}
{386, 125}
{210, 217, 200, 201, 218}
{352, 282, 181}
{258, 252}
{73, 78}
{387, 348}
{197, 286}
{26, 43, 298}
{200, 213}
{361, 388}
{368, 351}
{276, 142}
{318, 311}
{243, 389}
{374, 390}
{2, 255}
{391, 267, 159}
{309, 151}
{347, 348}
{347, 109}
{354, 372, 366}
{334, 335}
{366, 335}
{331, 359}
{289, 54}
{328, 256}
{145, 36, 12, 149}
{51, 15}
{387, 44}
{344, 324, 68}
{392, 324}
{393, 325}
{346, 350}
{26, 43}
{298, 31}
{361, 12}
{256, 219}
{394, 301}
{152, 320}
{290, 395}
{74, 189}
{352, 282}
{161, 258, 274}
{125, 341}
{43, 319}
{396, 364, 63}
{397, 383}
{257, 398, 231}
{193, 399}
{197, 399}
{339, 125}
{98, 343}
{282, 133}
{369, 382}
{60, 373}
{298, 319}
{332, 334, 335}
{396, 63}
{321, 367}
{257, 398}
{152, 369}
{81, 92}
{275, 265, 123}
{2, 350}
{400, 204}
{401, 355}
{48, 74}
{354, 366}
{331, 54}
{222, 79}
{10, 402}
{10, 327}
{82, 327}
{384, 52}
{2, 71}
{200, 210}
{10, 402, 327}
{154, 403, 15}
{26, 117}
{400, 262}
{108, 397}
{176, 285}
{251, 87}
{280, 73}
{48, 74, 165}
{308, 62}
{243, 214}
{404, 261}
{402, 327}
{395, 332}
{49, 405}
{253, 406}
{251, 77}
{63, 183}
{48, 165}
{160, 73}
{49, 397}
{2, 85}
{223, 407}
{408, 280, 39, 279}
{282, 179}
{73, 154}
{74, 165}
{73, 308}
{74, 279}
{409, 385}
{185, 92}
{39, 279}
{410, 183}
{39, 38, 279}
{379, 315}
{38, 279}
{411, 412}
{413, 414}
{136, 18}
{248, 191}
{218, 191}
{100, 101, 415}
{416, 417}
{290, 51}
{25, 132}
{105, 418}
{419, 139}
{139, 179, 94}
{225, 195}
{8, 420}
{200, 201, 218}
{248, 127}
{0, 194, 195}
{0, 129}
{65, 178}
{178, 348}
{421, 103}
{19, 269}
{99, 100}
{386, 124}
{217, 131}
{0, 195}
{296, 99}
{416, 182, 422, 406}
{355, 99}
{424, 20, 423}
{139, 94, 71}
{398, 247}
{8, 9, 420}
{209, 425, 199}
{426, 211}
{1, 427}
{425, 198, 199}
{400, 419}
{216, 428, 21}
{248, 378, 127}
{400, 418}
{133, 429}
{80, 132}
{56, 355}
{56, 208}
{430, 191}
{416, 431}
{432, 71}
{425, 131}
{433, 394}
{402, 47}
{217, 210, 201, 218}
{96, 434, 247}
{435, 182}
{225, 129, 195}
{184, 436}
{308, 293}
{437, 397}
{379, 101}
{438, 30}
{0, 439}
{0, 268}
{440, 441, 132}
{65, 348}
{420, 439}
{395, 127}
{51, 127}
{257, 231, 247}
{442, 166}
{19, 269, 359}
{19, 270}
{217, 218, 201}
{9, 420}
{9, 194}
{443, 47}
{209, 210}
{424, 20}
{444, 269, 54}
{114, 47}
{418, 139}
{56, 208, 7}
{30, 7}
{129, 194}
{41, 445}
{268, 439}
{232, 434}
{97, 142}
{433, 301, 446}
{96, 257}
{432, 402}
