{0, 1}
{2, 3}
{4, 5}
{6, 7}
{8, 9}
{10, 11}
{12, 13}
{14, 15}
{16, 17}
{18, 19}
{20, 21}
{22, 23}
{24, 25}
{26, 27}
{28, 29}
{30, 31}
{32, 33}
{34, 35}
{35, 36}
{37, 38}
{40, 39}
{41, 42}
{43, 44}
{45, 46}
{48, 47}
{49, 50}
{51, 52}
{29, 53}
{29, 54}
{37, 55}
{28, 54}
{56, 57}
{28, 29, 54}
{1, 58}
{59, 29}
{60, 61}
{38, 55}
{62, 63}
{64, 65}
{66, 67}
{34, 36}
{68, 69}
{37, 38, 55}
{70, 71}
{72, 29}
{73, 74}
{75, 76}
{3, 77}
{78, 79}
{80, 76}
{29, 79}
{34, 52}
{3, 79}
{27, 29}
{81, 82}
{83, 84}
{85, 86}
{72, 79}
{88, 87}
{89, 90}
{91, 30}
{92, 84}
{92, 93}
{94, 95}
{96, 82}
{97, 98}
{99, 100}
{101, 102}
{104, 103}
{105, 106}
{107, 108}
{109, 110}
{112, 111}
{113, 90}
{114, 115}
{116, 117}
{24, 53}
{118, 119}
{120, 42}
{121, 110}
{122, 36}
{121, 109, 110}
{123, 85}
{107, 124}
{92, 125}
{91, 92}
{91, 125}
{91, 92, 125}
{72, 100}
{60, 126}
{81, 73}
{48, 127}
{128, 129}
{130, 131}
{28, 29, 79}
{132, 133}
{28, 79}
{134, 135}
{32, 77}
{10, 87}
{136, 118}
{11, 87}
{24, 137}
{138, 139}
{50, 36}
{140, 50, 36}
{141, 142}
{12, 143}
{32, 3}
{140, 36}
{50, 140}
{144, 89}
{145, 146}
{147, 71}
{148, 149}
{84, 93}
{76, 126}
{150, 151}
{152, 95}
{153, 126}
{152, 154}
{26, 19}
{153, 155}
{153, 76}
{152, 154, 95}
{156, 12}
{157, 23}
{118, 158}
{121, 109}
{154, 95}
{152, 159}
{160, 161}
{95, 159}
{153, 76, 126}
{153, 155, 76}
{162, 15}
{163, 85}
{155, 76}
{164, 165}
{65, 166}
{153, 75}
{168, 167}
{169, 170}
{152, 154, 159}
{89, 54}
{171, 172}
{153, 75, 76}
{173, 174}
{114, 175}
{176, 177}
{173, 87}
{178, 158}
{91, 179}
{180, 181}
{161, 182}
{49, 140}
{26, 183}
{115, 175}
{59, 174}
{48, 127, 47}
{127, 47}
{141, 46}
{27, 183}
{184, 185}
{186, 135}
{187, 188}
{189, 190}
{67, 191}
{192, 193}
{194, 195}
{169, 78}
{196, 175}
{186, 197}
{122, 140}
{72, 198}
{82, 199}
{200, 201}
{201, 202}
{203, 204}
{205, 7}
{82, 206}
{62, 207}
{208, 206}
{209, 61}
{61, 102}
{80, 210}
{211, 156}
{184, 208}
{212, 213}
{26, 214}
{61, 215}
{216, 5}
{48, 5}
{216, 217}
{208, 218, 82}
{184, 82, 206, 199}
{208, 82, 206, 199}
{219, 220}
{162, 221}
{162, 222}
{41, 23}
{224, 223}
{225, 94}
{226, 212, 213}
{201, 227}
{220, 213}
{208, 228}
{205, 207}
{184, 219}
{219, 212, 213}
{208, 227, 206}
{229, 102}
{205, 230}
{91, 31}
{232, 231}
{218, 133}
{184, 202}
{219, 212}
{41, 198}
{41, 233}
{198, 23}
{234, 235}
{233, 23}
{209, 5}
{236, 54}
{232, 137}
{184, 82, 199}
{226, 213}
{202, 191}
{19, 237}
{184, 219, 212}
{180, 134}
{230, 6}
{232, 6}
{184, 218, 208}
{184, 82, 208, 199}
{208, 220}
{184, 218, 212}
{222, 62}
{238, 239}
{182, 238}
{137, 210}
{232, 205}
{240, 8}
{184, 218, 82}
{184, 82, 206}
{204, 135}
{26, 42}
{205, 231}
{241, 137}
{241, 217}
{240, 9}
{184, 212}
{242, 243}
{56, 141}
{161, 244}
{123, 245}
{202, 228}
{208, 82, 199}
{208, 82, 206}
{83, 92}
{246, 47}
{204, 247}
{248, 204}
{233, 198}
{208, 133}
{240, 247}
{249, 250}
{226, 212}
{208, 218}
{209, 102}
{250, 150}
{206, 191}
{251, 52}
{244, 85}
{48, 22}
{56, 252}
{208, 202}
{205, 6}
{184, 218}
{208, 218, 228}
{253, 254}
{240, 203}
{184, 201}
{228, 212, 213}
{232, 7}
{89, 61}
{244, 245}
{19, 27, 237}
{256, 255}
{201, 218}
{224, 123}
{184, 133}
{203, 247}
{226, 219, 212}
{226, 219, 213}
{226, 220}
{184, 218, 228}
{257, 254}
{161, 245}
{184, 82, 228}
{19, 27}
{96, 258}
{135, 247}
{259, 260}
{56, 251}
{220, 228}
{100, 102}
{261, 254}
{222, 78}
{256, 262}
{257, 263}
{253, 263}
{264, 263}
{90, 263}
{265, 266}
{264, 266, 254}
{266, 267}
{137, 268}
{259, 21}
{233, 198, 23}
{261, 269}
{270, 271}
{234, 94}
{9, 135}
{256, 264}
{225, 7}
{272, 264}
{273, 13}
{102, 100, 230}
{201, 191}
{274, 222}
{96, 172}
{275, 244}
{96, 276}
{203, 135}
{22, 255}
{232, 277, 149}
{161, 142}
{161, 252}
{52, 142}
{171, 278}
{171, 271}
{266, 254}
{280, 279}
{280, 281}
{280, 50}
{282, 50}
{83, 283}
{83, 127}
{83, 276}
{114, 83}
{284, 285}
{256, 284}
{264, 284}
{286, 278}
{272, 278}
{278, 254}
{260, 21}
{258, 189, 287}
{80, 231, 255}
{288, 80}
{225, 210}
{217, 211}
{244, 199}
{288, 22}
{217, 62}
{264, 254}
{289, 290}
{289, 189, 287}
{291, 292}
{244, 141}
{276, 293, 294}
{96, 276, 119}
{293, 294, 295}
{189, 294}
{296, 85}
{67, 205}
{52, 252}
{210, 22}
{232, 277, 5, 149}
{224, 245}
{265, 284}
{89, 268}
{269, 278}
{297, 271}
{298, 271}
{267, 271}
{59, 231}
{231, 22, 255}
{288, 80, 255}
{114, 299}
{225, 59, 6}
{48, 225, 6}
{218, 212}
{288, 22, 255}
{289, 127}
{283, 127}
{290, 127}
{259, 239}
{253, 278}
{300, 62}
{225, 59, 7}
{225, 7, 255}
{280, 301}
{137, 162}
{89, 137}
{294, 295}
{2, 67}
{52, 141}
{217, 222}
{114, 276}
{283, 276}
{289, 189}
{54, 239}
{184, 206, 208}
{184, 226, 213}
{252, 141}
{264, 302}
{252, 142}
{304, 303}
{305, 61, 215}
{306, 260, 21}
{289, 258, 189, 287}
{299, 294}
{248, 247}
{80, 7}
{61, 78}
{56, 52}
{217, 222, 62}
{266, 278}
{264, 266, 307}
{241, 274}
{275, 251}
{96, 119}
{210, 205}
{284, 262}
{264, 262}
{226, 219, 212, 213}
{308, 61, 215}
{162, 268}
{306, 21}
{248, 9, 204}
{299, 119}
{234, 61, 78}
{114, 309}
{248, 135}
{293, 294}
{276, 294}
{278, 270}
{156, 61}
{169, 310}
{264, 278}
{283, 189}
{53, 134}
{290, 276}
{276, 119}
{161, 252, 142}
{83, 119}
{21, 54}
{80, 231}
{248, 9}
{209, 100}
{287, 127}
{217, 300, 222}
{276, 294, 119}
{253, 302}
{265, 302}
{226, 219}
{271, 311}
{9, 204}
{299, 127}
{59, 6}
{102, 230}
{59, 7}
{283, 309}
{309, 119}
{312, 78}
{289, 290, 197}
{264, 284, 302}
{52, 252, 142}
{219, 213}
{83, 287}
{203, 204, 135}
{258, 293}
{197, 127}
{172, 127}
{274, 300, 63}
{184, 228}
{228, 133}
{309, 293}
{284, 302}
{82, 214}
{211, 63}
{184, 218, 133}
{209, 100, 102}
{276, 293, 127}
{212, 206}
{300, 222}
{313, 157}
{22, 7}
{309, 287}
{257, 284}
{59, 222}
{314, 315}
{264, 307}
{267, 171}
{217, 316, 63}
{317, 318}
{258, 127}
{80, 6}
{6, 22}
{249, 150}
{226, 228}
{217, 300, 63}
{300, 222, 63}
{133, 206}
{210, 59}
{286, 254}
{217, 62, 63}
{8, 319}
{222, 62, 63}
{244, 252}
{316, 62}
{293, 294, 127}
{189, 294, 127}
{309, 127}
{306, 260}
{276, 294, 295}
{307, 254}
{244, 52}
{68, 111}
{264, 307, 284}
{264, 266}
{264, 267}
{213, 191}
{267, 302}
{313, 35, 92, 157}
{265, 267}
{284, 254}
{284, 118}
{209, 174}
{80, 67}
{249, 250, 150}
{320, 321}
{90, 307}
{294, 119}
{298, 167}
{261, 102}
{304, 266}
{28, 198}
{146, 198}
{280, 269}
{258, 189, 127}
{258, 119}
{22, 231}
{299, 287}
{208, 228, 206}
{100, 230}
{264, 90}
{248, 319}
{322, 266}
{280, 171}
{35, 323, 92, 157}
{271, 167}
{225, 6}
{118, 254}
{11, 211}
{218, 202}
{293, 127}
{294, 127}
{11, 300}
{300, 63}
{316, 300}
{322, 267}
{59, 79}
{270, 254}
{197, 295}
{289, 295}
{283, 287}
{280, 286}
{19, 324}
{280, 325}
{326, 327}
{20, 118}
{29, 198}
{328, 127}
{68, 260}
{276, 309}
{83, 148}
{27, 21}
{329, 66}
{222, 230}
{256, 326}
{330, 331}
{58, 332}
{11, 300, 211}
{284, 263}
{198, 134}
{333, 198}
{289, 258}
{307, 118}
{73, 326}
{211, 300, 63}
{119, 127}
{267, 278}
{3, 29}
{58, 334}
{323, 157}
{41, 335}
{285, 326}
{302, 278}
{336, 131}
{337, 155}
{155, 12}
{198, 79}
{338, 118}
{339, 261}
{264, 253}
{146, 238}
{300, 230}
{241, 300}
{313, 323, 157}
{328, 290}
{338, 90}
{290, 66}
{23, 335}
{241, 102}
{290, 340}
{274, 63}
{341, 342}
{233, 341}
{326, 262}
{344, 343}
{344, 314}
{345, 14}
{346, 332}
{11, 205}
{49, 155, 12}
{347, 348}
{349, 350}
{289, 258, 189}
{232, 80}
{77, 143}
{351, 31}
{352, 353}
{354, 151}
{273, 74}
{169, 259}
{280, 339}
{355, 292}
{107, 356}
{313, 323}
{66, 309}
{328, 323}
{357, 358}
{360, 359}
{361, 362}
{276, 295}
{58, 363}
{96, 197}
{49, 153, 12}
{66, 323}
{322, 278}
{363, 364}
{312, 244}
{365, 366}
{365, 367}
{368, 186, 187}
{187, 93}
{233, 147}
{160, 331}
{344, 37, 343}
{369, 370}
{370, 346}
{305, 317}
